edad,anim,pito,walo,siyam,sampu,labing isa,labing dalawa,six years old,seven years old,eight years old,nine years old,ten years old,eleven years old,twelve years old,,,,,,,,,,
pabalikbalik ba ang lagnat?,oo,hindi,hindi ko alam,minsan,,,,,,,,,,,,,,,,,,,,
"alin sa mga sintomas ang kasabay ng paglalagnat?",mainit na pakiramdam,malamig na pakiramdam,combulsion,panginginig,pananakit ng ulo,pananakit ng katawan,nasusuka at pagsusuka,pagkapagod,pananakit ng tiyan,wala sa nabanggit,,,,,,,,,,,,,,
"anu ang iyong latest na temperatura?",36.5 c,37.5 c,37.8 c,37.9 c,38 c,lampas 38 c,,,,,,,,,,,,,,,,,,
may kasabay bang ubo at sipon?,meron,wala,may ubo,may sipon,may ubo at sipon,hindi ko alam,,,,,,,,,,,,,,,,,,
ano ang ginawa upang mawala ang iyong lagnat?,umiinom ng maraming tubig,nagpupunas ng malamig na bimpo,kumakain ng prutas na mataas sa bitamin c,nagpapahinga,natutulog,naglalagay ng cool fever,wala,pinapabayaan ko lang,,,,,,,,,,,,,,,,
uminom ka ba ng gamot?,oo,hindi,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,
anong gamot ang iyong iniinom para sa lagnat?,hindi ko alam,,,,,,,,,,,,,,,,,,,,,,,
kailan ka huling nagkalagnat?,kahapon,nung isang araw,nung isang linggo,nung isang buwan,nung isang taon,,,,,,,,,,,,,,,,,,,
madalas ka bang lagnatin?,oo,hindi,minsan lang,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
ano ang ginawa para mawala ang iyong lagnat,umiinom ng maraming tubig,nagpupunas ng malamig na bimpo,kumakain ng prutas na mataas sa bitamin c,nagpapahinga,natutulog,naglalagay ng cool fever,wala,pinapabayaan ko lang,,,,,,,,,,,,,,,,
anong gamot ang iniinom mo para mawala ang madalas mong paglalagnat?,biogesic,paracetamol,hindi ko alam,nakalimutan ko na,calpol,tempra,,,,,,,,,,,,,,,,,,
meron ka bang ka-pamilya o kamag-anak sa ina o ama na merong sakit sa puso?,oo,wala,hindi ko alam,meron ata,,,,,,,,,,,,,,,,,,,,
"kung oo, sa dugo ng ama o ina? o pareho?",ama,ina,ama at ina,hindi ko alam,,,,,,,,,,,,,,,,,,,,
kompleto ba ang iyong bakuna nung sanggol ka pa?,opo,hindi ko po alam,hindi ko matandaan,,,,,,,,,,,,,,,,,,,,,
"meron ka bang sakit sa balat katulad ng soryasis, skin asthma o dermatytis?",soryasis,skin asthma,dermatytis,wala,hindi ko alam,,,,,,,,,,,,,,,,,,,
kailan ito nagsimula?,ngayon lang,kahapon,nung isang araw,nung isang linggo,nakaraang buwan,nakaraang taon,sanggol pa lang ako,nung maliit pa ako,,,,,,,,,,,,,,,,
gaano katagal mo na ito nararanasan?,ilang araw na,ilang linggo na,ilang buwan na,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
anong parte ng katawan ang apektado?,ulo,leeg,katawan harap,katawan likod,braso kaliwa,braso kanan,parehong braso,kaliwang kamay,kanang kamay,parehong kamay,kaliwang binti,kanang binti,parehong binti,kaliwang legs,kanang legs,parehong legs,kaliwang paa,kanang paa,buong katawan,,,,,
paano ka nagkakaroon ng sakit mo sa balat?,maalikabok,pagnaiinitan,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,
anong ginagawa mo para gumaling ang sakit mo sa balat?,naglalagay ng gamot,naglalagay ng ointment,naglalagay ng losyon,naglalagay ng yelo,naliligo po,hindi ko alam,,,,,,,,,,,,,,,,,,
meron ka bang iniinom o pinapahid sa sakit mo sa balat?,meron,wala,hindi ko akam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,
"kung oo, anong gamot ito?",ointment,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,,
alin sa mga problema sa balat ang meron ka?                                                                                                                                                                                                                                                      1.) pagpapantal 2.) galos 3.) sugat na nagdurugo 4.) panunuyo ng balat 5.) iritasyon ng balat 6.) paso 7.) discolorasyon ng balat 8.) walang problema sa balat,pagpapantal,galos,sugat na nagdurugo,panunuyo ng balat,iritasyon ng balat,paso,discolorasyon ng balat,walang problema sa balat,hindi ko alam,,,,,,,,,,,,,,,
kailan mo ito unang naranasan?,kanina lang,kahapon,nung isang araw,nung isang linggo,nung isang buwan,nakaraang taon,ngayon lang,,,,,,,,,,,,,,,,,
gaano katagal mo na ito nararanasan?,ilang oras,isang araw,dalawang araw,ilang araw,ilang linggo,hindi ko na alam,,,,,,,,,,,,,,,,,,
paulit-ulit ba ang iyong problema sa balat?,hindi naman po,oo,minsan,,,,,,,,,,,,,,,,,,,,,
anong parte ng katawan ang apektado?,ulo,leeg,katawan harap,katawan likod,braso kaliwa,braso kanan,parehong braso,kaliwang kamay,kanang kamay,parehong kamay,kaliwang binti,kanang binti,parehong binti,kaliwang legs,kanang legs,parehong legs,kaliwang paa,kanang paa,buong katawan,,,,,
anong ang dahilan ng sakit mo sa balat?,nadapa ako,kinagat ng lamok,hindi ko nalalagyan ng losyon,nahulog sa bike,nadapa sa hagdan,hindi ko alam,nakalimutan ko na,sugat sa paglalaro,,,,,,,,,,,,,,,,
ano ang ginagawa mo para mawala ang sakit mo sa balat?,naliligo,nagkakamot,wala,pinapabayaan ko lang,,,,,,,,,,,,,,,,,,,,
may iniinom ka bang gamot para sa sakit mo sa balat?,naglalagay ng betadine lang,wala,hindi ko alam,,,,,,,,,,,,,,,,,,,,,
anong itsura ng pantal mo sa katawan?,kalat kalat,maliliit na bilog,malalaking bilog,may nana,may paltos,hindi ko alam,nakalimutan ko na,hindi ko makita,,,,,,,,,,,,,,,,
saan unang lumabas ang pantal?,ulo,leeg,katawan harap,katawan likod,braso kaliwa,braso kanan,parehong braso,kaliwang kamay,kanang kamay,parehong kamay,kaliwang binti,kanang binti,parehong binti,kaliwang legs,kanang legs,parehong legs,kaliwang paa,kanang paa,buong katawan,,,,,
makati ba ito?,hindi,oo,opo,minsan,,,,,,,,,,,,,,,,,,,,
masakit ba ito?,hindi,oo,opo,minsan,,,,,,,,,,,,,,,,,,,,
"mula 1-10, bilang 1 walang sakit, at 10 pinakamasakit gaano ang sakit na iyong nararamdaman?",isa,dalawa,tatlo,apat,lima,anim,pito,walo,siyam,sampu,hindi ko alam,hindi masakit,,,,,,,,,,,,
gaano kalaki ang galos mo?,wala,maliit lang,mas maliit sa piso,kasing laki ng piso,malaki,mahaba,hindi ko alam,magaling na,,,,,,,,,,,,,,,,
ilang galos ang meron ka?,wala,isa,dalawa,tatlo,apat,hindi ko alam,hindi ko mabilang,,,,,,,,,,,,,,,,,
ilan ang sugat na nagdudugo?,wala,isa,dalawa,tatlo,hindi ko mabilang,hindi ko makita,,,,,,,,,,,,,,,,,,
gaano katagal bago tumigil ang pagdurugo?,mabilis lang,saglit lang,ilang segundo lang,tatlong segundo,hindi ko alam,tumigil naman kagad,tumigil naman kagad,,,,,,,,,,,,,,,,,
gaano kalaki ang sugat?,mahaba,maliit lang,mas maliit sa piso,hindi ko alam,,,,,,,,,,,,,,,,,,,,
masakit ba ito?,hindi,hindi naman masyado,oo,,,,,,,,,,,,,,,,,,,,,
"mula 1-10, bilang 1 walang sakit, at 10 pinakamasakit gaano ang sakit na iyong nararamdaman?",wala,isa,dalawa,tatlo,apat,lima,anim,pito,walo,siyam,sampu,hindi ko alam,,,,,,,,,,,,
gaano kalalim ang paso mo sa balat?,namumula,hindi gaano kalalim,kita na yung loob ng balat,kita na yung puti puti ng balat,kita na yung buto buto,paltos lamang,,,,,,,,,,,,,,,,,,
gaano kalaki ang parte na may sunog?,maliit lamang,mas maliit sa piso,mas malaki sa piso,isang buong kamay,parehong kamay,isang paa,parehong paa,kalahati ng likod,buong likod,kalahati ng dibdib,buong dibdib,buong mukha,buong ulo,buong katawan,kalahating hita,buong hita,parehong hita,,,,,,,
masakit ba ito?,oo,mahapdi,hindi gaano,hindi ko alam,,,,,,,,,,,,,,,,,,,,
"mula 1-10, bilang 1 walang sakit, at 10 pinakamasakit gaano ang sakit na iyong nararamdaman?",hindi masakit,isa,dalawa,tatlo,apat,lima,anim,pito,walo,siyam,sampu,hindi ko alam,,,,,,,,,,,,
anong pagbabago ang meron sa iyong balat?,hindi ko alam,hindi ko alam anong tawag,merong parang butlig,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,
tumama na ba ng malakas ang ulo mo kamakailan lamang?,nadapa,nauntog sa pinto,matagal na,hindi,oo,matagal na,nung sanggol pa lang ako,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,
ilang beses ito nangyari?,hindi ko alam,nakalimutan ko na,isa,dalawa,tatlong beses,,,,,,,,,,,,,,,,,,,
kailan ito nangyari?,kanina lang,kahapon lang,nung isang araw lang,nung isang linggo,nung isang buwan,nakaraang taon pa,hindi ko alam,nakalimutan ko na,nung sanggol pa lang ako,,,,,,,,,,,,,,,
saang parte ito ng ulo?,itaas,likod,gilid,likod,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,
ano ang tumama sa iyong ulo?,kisame,sa pinto,sa cabinet,sa hagdan,sa pader,,,,,,,,,,,,,,,,,,,
may kasama bang sugat na nagdurugo o galos?,hindi naman dumugo,wala po,"opo, maliit lang",hindi naman dumugo,,,,,,,,,,,,,,,,,,,,
mga kasabay na sintomas tulad ng?,pagkawala ng malay,pagkahilo,panlalabo ng paningin,nagsusuka at pagsusuka,,,,,,,,,,,,,,,,,,,,
pagkawalan ng malay,hindi po,wala po,nakalimutan ko na,meron,,,,,,,,,,,,,,,,,,,,
pagkahilo,hindi po,wala po,nakalimutan ko na,meron,,,,,,,,,,,,,,,,,,,,
na-ospital ka ba dahil dito?,hindi po,opo,oo,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
"kung oo, ano ang ginawa sayo sa ospital?",tinahi yung sugat,check up lamang,inobserbahan,na admit,nilinis lang yung sugat,wala naman,hindi ko alam,nakalimutan ko na,sanggol pa lang ako noon,,,,,,,,,,,,,,,
kung ito ay masakit? i-rate ang sakit mula 1-10 bilang 1 walang sakit ang 10 bilang pinakamasakit.,hindi masakit,isa,dalawa,tatlo,apat,lima,anim,pito,walo,siyam,sampu,,,,,,,,,,,,,
ano ang ginawa mo para gumaling ang sintomas ng pagkakatama mo sa ulo?,wala,pinabayaan ko lang,uminom ng tubig,,,,,,,,,,,,,,,,,,,,,
may nilagay o ininom ka ba na gamot para sa pagkakatama mo sa ulo?,wala,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,,
sumasakit ba ang iyong ulo?,sometimes pagnaiinitan,sa gabi,pagmatagal mag gadget,"headphones, mabigat sa ulo",nanunuod ng tv,hindi ko alam,,,,,,,,,,,,,,,,,,
kung ito ay masakit? i-rate ang sakit mula 1-10 bilang 1 walang sakit ang 10 bilang pinakamasakit.,hindi po,minsan,hindi masakit,isa,dalawa,tatlo,apat,lima,anim,pito,walo,siyam,sampu,,,,,,,,,,,
kailan ito nagsimula?,kanina,kahapon,nung isang araw,nung isang linggo,,,,,,,,,,,,,,,,,,,,
gaano katagal mo na ito nararanasan?,segundo,minuto,oras,kalahating araw,isang araw,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,
saang parte ito?,"ulo, harap hanggang likod",gilid,mata sa harap,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
ang pananakit ba ng iyong ulo ay madalas?,minsan,hindi po,oo,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
"ma kasabay bang paglalagnat, ubo at sipon ito?",ubo,sipon,lagnat,"ubo, sipon at lagnat",ubo at sipon,lagnat lamang,wala,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,
"meron din bang kasamang nasusuka, nahihilo, pagkawalan ng malay at pagdurugo ng ilong?",nasusuka,nagsuka,nahihilo,nawalan ng malay,nagdugo ang ilong,wala,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,
ano ang ginagawa mo para maibsan ang sakit ng iyong ulo?,pahinga,natulog,uminom ng maraming tubig,tumigil sa pagga gadget,wala,pinabayaan ko lang,uminom ng gamot,,,,,,,,,,,,,,,,,
meron ka bang nilalagay o iniinom na gamot para sa sakit ng ulo mo?,oo,wala,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,
alin sa mga ito ang iyong naranasan?                                                                                                                                                                                                                                                                         1.) pamamaga ng tenga 2.) pananakit ng tenga 3.) kakaibang tutuli 4.) pangangati 5.) pamumula 6.) sugat sa tenga 7.) wala sa nabanggit,pamamaga ng tenga,pananakit ng tenga,kakaibang tutuli,pangangati ng tenga,pamumula ng tenga,sugat sa tenga,wala sa nabanggit,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,
kailan ito nagsimula?,ngayon lang,kahapon,nung isang araw,nung isang linggo,nung isang buwan,nakaraang taon,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,
gaano katagal mo na ito nararanasan?,kalahating araw,isang araw,dalawang araw,tatlong araw,apat na araw,limang araw,anim na araw,pitong araw,higit sa pitong araw,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,
kaliwa o kanan ang apektado?,kaliwa,kanan,pareho,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
bakit nagkaroon ka ng problema sa tenga?,kinagat ng langgam,napasukan ng tubig nung nag swimming,biglaan na lang,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
sumasakit ba ang iyong tenga?,pagmalakas na tunog o nasigaw,"dahil sa face shield, sa likod ng tenga",kapag may sipon,kinagat ng langgam,oo,hindi,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,
kung ito ay masakit? i-rate ang sakit mula 1-10 bilang 1 walang sakit ang 10 bilang pinakamasakit.,hindi masakit,konting sakit,isa,dalawa,tatlo,apat,lima,anim,pito,walo,siyam,sampu,,,,,,,,,,,,
ano ang ginagawa mo para mawala ang pananakit ng iyong tenga?,wala,wala,pinabayaan ko lang,uminom ng gamot,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,
meron ka bang ininom na gamot para sa problema mo sa tenga?,oo,wala,nakalimutan ko na,hindi ko alam,,,,,,,,,,,,,,,,,,,,
"kung oo, anong gamot ito?",paracetamol,hindi ko alam,nakalimutan ko na,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,
nakapagpacheck up ka na ba ng tenga?,hindi,oo,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,
ano ang itsura ng tutuli mo sa tenga?,brown,yellow,pula,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
maayos ba ang iyong pandinig,ayos naman,oo,hindi,opo,,,,,,,,,,,,,,,,,,,,
kailan ito nagsimula?,ngayon lang,kahapon,nung isang araw,nung isang linggo,nakaraang buwan,nakaraang taon,matagal na,nung sanggol pa lang ako,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,
gaano katagal mo na ito nararanasan?,kalahating araw,isang araw,dalawang araw,tatlong araw,apat na araw,limang araw,anim na araw,pitong araw,higit sa pitong araw,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,
kaliwa o kanan tenga ang apektado?,kaliwa,kanan,kaliwa at kanan,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
ano ang dahilan ng pagkahina na iyong pandinig?,simula pagkabata,impeksyon,sugat,komplikasyon mula sa sakit,natusok,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,
nakapagpacheck up ka ba sa doctor dahil dito?,opo,oo,hindi,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
ano ang ginawa mo para sa paghina ng iyong pandinig?,irrigasyon ng tenga,nilinis,wala,nilagayan ng hydrogen peroxide,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,
may ininom/pinapatak ka bang gamot para sa paghina ng iyong pandinig?,oo,opo,hindi,wala,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,
"kung oo, anong gamot ito?",antibiotic,ear drops,hydrogen peroxide,biogesic,paracetamol,mefenamic,celecoxib,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,
alin sa mga sakit sa mata ang iyong naranasan?                                                                                                                                                                                                                                                       1.) pamamaga 2.) pamumula 3.) sugat sa mata 4.) panunuyo 5.) kuliti 6.) labis na pagmumuta 7.) sore eyes 8.) pangangati 9.) pananakit ng mata 10.) wala sa nabanggit,pamamaga ng mata,pamumula ng mata,sugat sa mata,panunuyo ng mata,kuliti,labis na pagmumuta,sore eyes,pangangati ng mata,pananakit ng mata,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,
"mula 1-10, bilang 1 walang sakit, at 10 pinakamasakit gaano ang sakit na iyong nararamdaman?",hindi masakit,isa,dalawa,tatlo,apat,lima,anim,pito,walo,siyam,sampu,hindi ko alam,nakalimutan ko na,,,,,,,,,,,
kailan ito nagsimula?,ngayon lang,kahapon,nung isang araw,nung isang linggo,nung isang buwan,nakaraang taon,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,
gaano katagal mo na ito nararanasan?,kalahating araw,isang araw,dalawang araw,tatlong araw,apat na araw,limang araw,anim na araw,pitong araw,higit sa pitong araw,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,
kaliwa o kanang mata ang apektado?,kaliwa at kanan,kaliwa,kanan,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
sa anong kadahilanan nagkaroon ka nito?,nakamot,bigla na lang,natusok,napasukan ng alikabok,kinagat ng insekto,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,
ano ang ginawa para mawala ang sakit sa iyong mata?,binabad sa tubig,nilinis yung sugat,wala,pinabayaan ko lang,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,
meron ka bang ininom / pinatak na gamot para sa sakit sa iyong mata?,oo,opo,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,
"kung oo, anong gamot ito?",paracetamol,biogesic,pangpatak sa mata,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
malinaw ba ang iyong mga mata?,hindi po,oo,opo,malinaw,malabo,,,,,,,,,,,,,,,,,,,
malinaw ba ang paningin mo sa malapit o malayo?,sa malapit,sa malayo,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,
kailan ito nagsimula?,nung nakaraang linggo,nakaraang buwan,nakaraang taon,matagal na,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,
gaano katagal ka na nagsusuot ng salamin?,kalahating araw,isang araw,dalawang araw,tatlong araw,apat na araw,limang araw,anim na araw,pitong araw,higit sa pitong araw,hindi ko alam,nakalimutan ko na,matagal na,,,,,,,,,,,,
"anong mata ang apektado? kaliwa, kanan o pareho?",kaliwa,kanan,kaliwa at kanan,,,,,,,,,,,,,,,,,,,,,
anong ang possibleng dahilan nito?,biglaan na lamang,nahilo ako,madalas mag cellphone,madalas mag computer,madalas manuod ng tv,nagbabasa sa dilim,nagbabasa sa umaandar na kotse,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,
paulit-ulit mo bang nararanasan ang problemang ito?,oo,opo,hindi,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,
ano ang ginawa para umayos ang iyong mga mata?,nilinis ang mata,naglagay ng malamig na bimpo,binabad sa tubig,pinahinga,binawasan ang panunuod ng tv,binawasan ang pagce cellphone,iniiwasan na ang pagbasa sa dilim,wala,hindi ko alam,,,,,,,,,,,,,,,
meron ka bang ininom/pinapatak na gamot para makatulong sa pagbagal ng panlalabo ng iyong mga mata?,oo,opo,hindi,wala,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,
"kung oo, anong gamot ito?",eye drops,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,,
kailan ang huling check up ng iyong mga mata?,matagal na po,wala pa,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,
"kung oo, ano ang inirecomenda ng doctor sa mata sa iyo?",magsuot ng salamin,bawasan ang pagga gadget,hindi ko alam,nakalimutan ko na,,,,,,,,,,,,,,,,,,,,
